id,inning,over_no,average_runs_per_over
14,1,6,1.1667
14,1,7,1.1667
14,1,8,1.0000
14,1,9,2.0000
14,1,10,1.3333
14,1,11,2.0000
14,1,12,1.1667
14,1,13,2.3333
14,1,14,1.5000
14,1,15,1.1667
14,1,16,1.7143
14,1,17,2.3333
14,1,18,0.6667
14,1,19,1.1250
14,1,20,1.5000
14,2,1,0.7143
14,2,2,0.8333
14,2,3,1.5000
14,2,4,2.1667
14,2,5,1.1667
14,2,6,1.0000
14,2,7,0.3333
14,2,8,0.1667
14,2,9,0.8333
14,2,10,1.0000
14,2,11,1.8333
14,2,12,1.6667
14,2,13,2.5000
14,2,14,0.5000
14,2,15,1.8750
14,2,16,0.5000
14,2,17,1.8571
14,2,18,0.5000
14,2,19,1.8333
14,2,20,2.0000
15,1,1,1.3333
15,1,2,1.5000
15,1,3,0.8333
15,1,4,0.8333
15,1,5,2.3333
15,1,6,1.3333
15,1,7,0.8571
15,1,8,1.0000
15,1,9,1.1667
15,1,10,2.0000
15,1,11,1.1667
15,1,12,1.1667
15,1,13,1.0000
15,1,14,1.1667
15,1,15,1.6667
15,1,16,1.3750
15,1,17,1.8571
15,1,18,1.5000
15,1,19,2.6667
15,1,20,3.1667
15,2,1,0.3333
15,2,2,0.6667
15,2,3,1.8333
15,2,4,1.5000
15,2,5,1.1667
15,2,6,1.1667
15,2,7,1.0000
15,2,8,0.3333
15,2,9,0.6667
15,2,10,1.8333
15,2,11,1.3333
15,2,12,1.5000
15,2,13,0.6667
15,2,14,0.8333
15,2,15,2.1667
15,2,16,1.5000
15,2,17,2.0000
15,2,18,1.0000
15,2,19,0.6667
15,2,20,0.5000
16,1,1,0.4286
16,1,2,1.7143
16,1,3,1.0000
16,1,4,0.5000
16,1,5,1.1667
16,1,6,2.5000
16,1,7,0.5000
16,1,8,1.5000
16,1,9,1.5000
16,1,10,1.3333
16,1,11,1.0000
16,1,12,0.3333
16,1,13,1.6667
16,1,14,1.7143
16,1,15,2.5000
16,1,16,0.8571
16,1,17,2.7143
16,1,18,1.5000
16,1,19,1.7143
16,1,20,1.6667
16,2,1,0.8571
16,2,2,1.1429
16,2,3,1.1000
16,2,4,1.1667
16,2,5,2.5000
16,2,6,1.5000
16,2,7,1.1667
16,2,8,1.1667
16,2,9,2.5000
16,2,10,0.6667
16,2,11,0.5000
16,2,12,1.5000
16,2,13,0.8333
16,2,14,2.1667
16,2,15,1.8571
16,2,16,1.5000
16,2,17,2.1667
16,2,18,1.0000
16,2,19,1.2857
16,2,20,2.6667
17,1,1,0.5000
17,1,2,1.3333
17,1,3,2.8333
17,1,4,2.1667
17,1,5,1.5000
17,1,6,0.7143
17,1,7,0.8571
17,1,8,1.1667
17,1,9,0.1667
17,1,10,1.6667
17,1,11,1.0000
17,1,12,1.1667
17,1,13,0.8571
17,1,14,1.3750
17,1,15,1.3333
17,1,16,1.6667
17,1,17,0.5000
17,1,18,0.3333
17,1,19,2.7143
17,1,20,1.6667
17,2,1,1.1667
17,2,2,1.8333
17,2,3,1.1667
17,2,4,1.6667
17,2,5,0.6667
17,2,6,0.5000
17,2,7,1.1667
17,2,8,0.5714
17,2,9,1.6667
17,2,10,0.6667
17,2,11,0.7143
17,2,12,0.8571
17,2,13,0.8333
17,2,14,0.6667
17,2,15,0.7143
17,2,16,1.6667
17,2,17,2.1667
17,2,18,1.6667
17,2,19,1.0000
17,2,20,0.5000
18,1,1,1.6667
18,1,2,1.5000
18,1,3,2.8333
18,1,4,0.8333
18,1,5,1.5000
18,1,6,0.5000
18,1,7,1.0000
18,1,8,0.6667
18,1,9,1.3333
18,1,10,2.0000
18,1,11,0.6667
18,1,12,1.8333
18,1,13,1.0000
18,1,14,0.8333
18,1,15,0.1667
18,1,16,1.5000
18,1,17,4.3333
18,1,18,1.0000
18,1,19,0.7143
18,1,20,1.8333
18,2,1,1.0000
18,2,2,2.1667
18,2,3,0.3333
18,2,4,1.1667
18,2,5,1.0000
18,2,6,2.5000
18,2,7,0.5000
18,2,8,1.5000
18,2,9,2.0000
18,2,10,1.8571
18,2,11,0.8333
18,2,12,0.8571
18,2,13,1.8333
18,2,14,2.5000
18,2,15,1.6667
18,2,16,1.0000
18,2,17,1.0000
18,2,18,0.8571
18,2,19,1.1667
18,2,20,1.8000
19,1,1,0.5000
19,1,2,0.7500
19,1,3,1.5000
19,1,4,0.5000
19,1,5,0.6667
19,1,6,0.6667
19,1,7,1.8333
19,1,8,0.3333
19,1,9,1.3333
19,1,10,0.5714
19,1,11,2.0000
19,1,12,1.5000
19,1,13,1.8333
19,1,14,1.6667
19,1,15,1.7143
19,1,16,1.0000
19,1,17,1.5000
19,1,18,1.6667
19,1,19,1.6667
19,1,20,2.5000
19,2,1,1.0000
19,2,2,1.5000
19,2,3,0.3333
19,2,4,0.7143
19,2,5,1.6667
19,2,6,2.7143
19,2,7,0.3333
19,2,8,0.6667
19,2,9,0.6667
